# Histogram
000000 000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000
000003 000000	000000	000000	000000	000000
000004 000000	000000	000000	000000	000000
000005 000003	000000	000000	000000	000003
000006 000437	000080	000015	000008	000540
000007 171774	020050	008140	005252	205216
000008 7816121	12323149	11217655	11733283	43090208
000009 7025814	8855171	8522198	8164332	32567515
000010 2774253	2978344	3375723	3246768	12375088
000011 2057733	2457853	2634104	2494582	9644272
000012 1870326	1951144	2101195	1950650	7873315
000013 1877319	1463076	1630343	1544000	6514738
000014 1929255	1119065	1252761	1247269	5548350
000015 1577713	852261	949401	981724	4361099
000016 1140189	646594	717576	842762	3347121
000017 791401	498832	551764	707589	2549586
000018 573744	390708	437918	551272	1953642
000019 440047	312913	357665	439484	1550109
000020 362147	257302	296921	355178	1271548
000021 333639	214513	249117	288067	1085336
000022 352047	183529	211948	241105	988629
000023 402621	158767	181113	205769	948270
000024 445339	139007	157227	178106	919679
000025 460002	122523	137311	153681	873517
000026 447958	108857	119220	128815	804850
000027 422836	096717	104886	105290	729729
000028 382094	085364	091999	083385	642842
000029 333701	075864	080908	065494	555967
000030 290793	067340	071015	050740	479888
000031 257435	060019	062492	039895	419841
000032 229113	053259	054538	031830	368740
000033 204212	048940	046963	025520	325635
000034 178385	045657	041438	020843	286323
000035 151016	042209	036329	017236	246790
000036 125429	039046	032281	014130	210886
000037 102814	036124	028804	011742	179484
000038 082036	032688	025201	009942	149867
000039 065613	029568	022486	008188	125855
000040 052634	026308	020093	006791	105826
000041 041837	023363	017727	005741	088668
000042 033061	021000	016098	004898	075057
000043 027200	018703	014444	004532	064879
000044 021879	016499	013162	003931	055471
000045 018199	014918	011807	003481	048405
000046 015397	012923	010627	003156	042103
000047 013181	011325	009724	002810	037040
000048 011723	010160	008470	002550	032903
000049 010084	008849	007518	002329	028780
000050 008942	007994	006755	002031	025722
000051 007697	008231	006075	001859	023862
000052 007068	006498	005447	001604	020617
000053 006363	006020	005648	001390	019421
000054 005527	005780	004830	001178	017315
000055 005016	004889	004508	001063	015476
000056 004532	004392	004334	000909	014167
000057 004045	003774	003624	000792	012235
000058 003482	003153	002872	000668	010175
000059 003202	002629	002221	000586	008638
000060 002855	002237	001697	000553	007342
000061 002478	001782	001391	000507	006158
000062 002199	001545	001103	000421	005268
000063 001860	001363	000919	000343	004485
000064 001674	001218	000858	000321	004071
000065 001519	001051	000680	000245	003495
000066 001249	000882	000547	000249	002927
000067 001118	000768	000451	000164	002501
000068 001009	000714	000409	000120	002252
000069 000891	000645	000366	000110	002012
000070 000767	000527	000320	000097	001711
000071 000647	000434	000290	000079	001450
000072 000583	000451	000291	000056	001381
000073 000508	000355	000298	000048	001209
000074 000424	000329	000359	000043	001155
000075 000415	000285	000418	000040	001158
000076 000349	000222	000478	000038	001087
000077 000308	000201	000545	000035	001089
000078 000274	000164	000570	000023	001031
000079 000253	000135	000522	000018	000928
000080 000211	000103	000501	000016	000831
000081 000220	000086	000400	000013	000719
000082 000195	000075	000343	000011	000624
000083 000192	000066	000302	000006	000566
000084 000128	000048	000229	000007	000412
000085 000134	000054	000199	000007	000394
000086 000135	000034	000167	000010	000346
000087 000099	000043	000129	000001	000272
000088 000103	000033	000098	000003	000237
000089 000095	000022	000073	000002	000192
000090 000090	000020	000056	000002	000168
000091 000083	000022	000057	000003	000165
000092 000082	000012	000039	000003	000136
000093 000056	000017	000031	000002	000106
000094 000053	000009	000029	000003	000094
000095 000042	000010	000015	000001	000068
000096 000036	000004	000009	000000	000049
000097 000033	000006	000013	000001	000053
000098 000022	000005	000010	000000	000037
000099 000025	000002	000011	000001	000039
000100 000024	000003	000005	000000	000032
000101 000015	000006	000000	000002	000023
000102 000014	000004	000005	000001	000024
000103 000008	000002	000001	000000	000011
000104 000006	000002	000003	000000	000011
000105 000010	000002	000004	000000	000016
000106 000007	000002	000002	000000	000011
000107 000009	000000	000001	000000	000010
000108 000008	000000	000002	000000	000010
000109 000008	000000	000000	000000	000008
000110 000001	000001	000002	000000	000004
000111 000003	000003	000002	000000	000008
000112 000003	000000	000003	000000	000006
000113 000004	000000	000000	000000	000004
000114 000003	000000	000002	000000	000005
000115 000005	000000	000000	000000	000005
000116 000001	000000	000000	000000	000001
000117 000001	000000	000000	000000	000001
000118 000002	000000	000001	000000	000003
000119 000001	000000	000001	000000	000002
000120 000004	000000	000000	000000	000004
000121 000002	000000	000000	000000	000002
000122 000002	000000	000000	000000	000002
000123 000001	000000	000000	000000	000001
000124 000001	000000	000000	000000	000001
000125 000000	000000	000000	000000	000000
000126 000002	000000	000000	000000	000002
000127 000002	000000	000000	000000	000002
000128 000001	000000	000000	000000	000001
000129 000002	000000	000000	000000	000002
000130 000001	000000	000000	000000	000001
000131 000000	000000	000000	000000	000000
000132 000000	000000	000000	000000	000000
000133 000000	000000	000000	000000	000000
000134 000000	000000	000000	000000	000000
000135 000002	000000	000000	000000	000002
000136 000000	000000	000000	000000	000000
000137 000000	000000	000000	000000	000000
000138 000001	000000	000000	000000	000001
000139 000000	000000	000000	000000	000000
000140 000000	000000	000000	000000	000000
000141 000001	000000	000000	000000	000001
000142 000000	000000	000000	000000	000000
000143 000000	000000	000000	000000	000000
000144 000000	000000	000000	000000	000000
000145 000000	000000	000000	000000	000000
000146 000000	000000	000000	000000	000000
000147 000001	000000	000000	000000	000001
000148 000002	000000	000000	000000	000002
000149 000000	000000	000000	000000	000000
000150 000000	000000	000000	000000	000000
000151 000000	000000	000000	000000	000000
000152 000000	000000	000000	000000	000000
000153 000000	000000	000000	000000	000000
000154 000000	000000	000000	000000	000000
000155 000000	000000	000000	000000	000000
000156 000000	000000	000000	000000	000000
000157 000000	000000	000000	000000	000000
000158 000000	000000	000000	000000	000000
000159 000000	000000	000000	000000	000000
000160 000000	000000	000000	000000	000000
000161 000000	000000	000000	000000	000000
000162 000000	000000	000000	000000	000000
000163 000000	000000	000000	000000	000000
000164 000000	000000	000000	000000	000000
000165 000000	000000	000000	000000	000000
000166 000000	000000	000000	000000	000000
000167 000000	000000	000000	000000	000000
000168 000000	000000	000000	000000	000000
000169 000000	000000	000000	000000	000000
000170 000000	000000	000000	000000	000000
000171 000000	000000	000000	000000	000000
000172 000000	000000	000000	000000	000000
000173 000000	000000	000000	000000	000000
000174 000000	000000	000000	000000	000000
000175 000000	000000	000000	000000	000000
000176 000000	000000	000000	000000	000000
000177 000000	000000	000000	000000	000000
000178 000000	000000	000000	000000	000000
000179 000000	000000	000000	000000	000000
000180 000000	000000	000000	000000	000000
000181 000000	000000	000000	000000	000000
000182 000000	000000	000000	000000	000000
000183 000000	000000	000000	000000	000000
000184 000000	000000	000000	000000	000000
000185 000000	000000	000000	000000	000000
000186 000000	000000	000000	000000	000000
000187 000000	000000	000000	000000	000000
000188 000000	000000	000000	000000	000000
000189 000000	000000	000000	000000	000000
000190 000000	000000	000000	000000	000000
000191 000000	000000	000000	000000	000000
000192 000000	000000	000000	000000	000000
000193 000000	000000	000000	000000	000000
000194 000000	000000	000000	000000	000000
000195 000000	000000	000000	000000	000000
000196 000000	000000	000000	000000	000000
000197 000000	000000	000000	000000	000000
000198 000000	000000	000000	000000	000000
000199 000000	000000	000000	000000	000000
000200 000000	000000	000000	000000	000000
000201 000000	000000	000000	000000	000000
000202 000000	000000	000000	000000	000000
000203 000000	000000	000000	000000	000000
000204 000000	000000	000000	000000	000000
000205 000000	000000	000000	000000	000000
000206 000000	000000	000000	000000	000000
000207 000000	000000	000000	000000	000000
000208 000000	000000	000000	000000	000000
